name,fifa_code,confederation,qualification_method,qualification_date,total_times_qualified,last_time_qualified,current_consecutive_appearances,previous_best_performance,is_host,is_debutant,source,api_football_team_id,logo_url,raw_names_seen
Panama,PAN,CONCACAF,CONCACAF third round Group A winners,18 November 2025,2,2018,1,Group stage ( 2018 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,524,https://apiv3.apifootball.com/badges/524_panama.jpg,Panama
United States,USA,CONCACAF,Hosts,14 February 2023,12,2022,2,Third place ( 1930 ),True,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,523,https://apiv3.apifootball.com/badges/523_united-states.jpg,United States
Argentina,ARG,CONMEBOL,CONMEBOL winners,25 March 2025,19,2022,14,"Winners ( 1978 , 1986 , 2022 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,536,https://apiv3.apifootball.com/badges/536_argentina.jpg,Argentina
Brazil,BRA,CONMEBOL,CONMEBOL fifth place,10 June 2025,23,2022,23,"Winners ( 1958 , 1962 , 1970 , 1994 , 2002 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,531,https://apiv3.apifootball.com/badges/531_brazil.jpg,Brazil
Colombia,COL,CONMEBOL,CONMEBOL third place,4 September 2025,7,2018,1,Quarter-finals ( 2014 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,535,https://apiv3.apifootball.com/badges/535_colombia.jpg,Colombia
Ecuador,ECU,CONMEBOL,CONMEBOL runners-up,10 June 2025,5,2022,2,Round of 16 ( 2006 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,541,https://apiv3.apifootball.com/badges/541_ecuador.jpg,Ecuador
Paraguay,PAR,CONMEBOL,CONMEBOL sixth place,4 September 2025,9,2010,1,Quarter-finals ( 2010 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,537,https://apiv3.apifootball.com/badges/537_paraguay.jpg,Paraguay
Uruguay,URU,CONMEBOL,CONMEBOL fourth place,4 September 2025,15,2022,5,"Winners ( 1930 , 1950 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,539,https://apiv3.apifootball.com/badges/539_uruguay.jpg,Uruguay
New Zealand,NZL,OFC,OFC third round winners,24 March 2025,3,2010,1,"Group stage ( 1982 , 2010 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,527,https://apiv3.apifootball.com/badges/527_new-zealand.jpg,New Zealand
Austria,AUT,UEFA,UEFA Group H winners,18 November 2025,9,1998,1,Third place ( 1954 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,9,https://apiv3.apifootball.com/badges/9_austria.jpg,Austria
Belgium,BEL,UEFA,UEFA Group J winners,18 November 2025,15,2022,4,Third place ( 2018 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,6,https://apiv3.apifootball.com/badges/6_belgium.jpg,Belgium
Bosnia and Herzegovina,BIH,UEFA,UEFA play-offs Path A winners,31 March 2026,2,2014,1,Group stage ( 2014 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,685,https://apiv3.apifootball.com/badges/685_bosnia-herzegovina.jpg,Bosnia and Herzegovina; Bosnia-Herzegovina
Croatia,CRO,UEFA,UEFA Group L winners,14 November 2025,7,2022,4,Runners-up ( 2018 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,14,https://apiv3.apifootball.com/badges/14_croatia.jpg,Croatia
Czech Republic,CZE,UEFA,UEFA play-offs Path D winners,31 March 2026,10,2006,1,"Runners-up ( 1934 , 1962 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,13,https://apiv3.apifootball.com/badges/13_czechia.jpg,Czech Republic; Czechia
England,ENG,UEFA,UEFA Group K winners,14 October 2025,17,2022,8,Winners ( 1966 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,16,https://apiv3.apifootball.com/badges/16_england.jpg,England
France,FRA,UEFA,UEFA Group D winners,13 November 2025,18,2022,8,"Winners ( 1998 , 2018 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,22,https://apiv3.apifootball.com/badges/22_france.jpg,France
Germany,GER,UEFA,UEFA Group A winners,17 November 2025,21,2022,19,"Winners ( 1954 , 1974 , 1990 , 2014 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,21,https://apiv3.apifootball.com/badges/21_germany.jpg,Germany
Netherlands,NED,UEFA,UEFA Group G winners,17 November 2025,12,2022,2,"Runners-up ( 1974 , 1978 , 2010 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,10,https://apiv3.apifootball.com/badges/10_netherlands.jpg,Netherlands
Norway,NOR,UEFA,UEFA Group I winners,16 November 2025,4,1998,1,Round of 16 ( 1998 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,692,https://apiv3.apifootball.com/badges/692_norway.jpg,Norway
Portugal,POR,UEFA,UEFA Group F winners,16 November 2025,9,2022,7,Third place ( 1966 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,23,https://apiv3.apifootball.com/badges/23_portugal.jpg,Portugal
Scotland,SCO,UEFA,UEFA Group C winners,18 November 2025,10,1998,1,"Group stage ( 1954 , 1958 , 1974 , 1978 , 1982 , 1986 , 1990 , 1998 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,15,https://apiv3.apifootball.com/badges/15_scotland.jpg,Scotland
Spain,ESP,UEFA,UEFA Group E winners,18 November 2025,17,2022,13,Winners ( 2010 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,19,https://apiv3.apifootball.com/badges/19_spain.jpg,Spain
Sweden,SWE,UEFA,UEFA play-offs Path B winners,31 March 2026,13,2018,1,Runners-up ( 1958 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,17,https://apiv3.apifootball.com/badges/17_sweden.jpg,Sweden
Switzerland,SUI,UEFA,UEFA Group B winners,18 November 2025,13,2022,6,"Quarter-finals ( 1934 , 1938 , 1954 )",False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,2,https://apiv3.apifootball.com/badges/2_switzerland.jpg,Switzerland
Turkey,TUR,UEFA,UEFA play-offs Path C winners,31 March 2026,4,2002,1,Third place ( 2002 ),False,False,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_qualification,1,https://apiv3.apifootball.com/badges/1_turkiye.jpg,Turkey; Türkiye
